CD_SETOR,NUMPOINTS
"355030804000001",0
"355030804000002",0
"355030804000003",0
"355030804000004",0
"355030804000006",0
"355030804000007",0
"355030804000008",0
"355030804000009",0
"355030804000012",1
"355030804000015",1
"355030804000016",1
"355030804000017",0
"355030804000018",0
"355030804000020",0
"355030804000023",0
"355030804000024",0
"355030804000031",0
"355030804000032",0
"355030804000033",0
"355030804000034",1
"355030804000035",0
"355030804000036",0
"355030804000038",0
"355030804000040",0
"355030804000041",0
"355030804000042",0
"355030804000043",0
"355030804000044",0
"355030804000045",1
"355030804000046",0
"355030804000047",0
"355030804000048",0
"355030804000050",1
"355030804000051",1
"355030804000052",0
"355030804000053",0
"355030804000054",1
"355030804000055",0
"355030804000056",0
"355030804000057",0
"355030804000058",0
"355030804000059",0
"355030804000060",0
"355030804000061",2
"355030804000063",0
"355030804000064",1
"355030804000066",0
"355030804000067",0
"355030804000068",1
"355030804000069",0
"355030804000070",0
"355030804000071",0
"355030804000072",1
"355030804000073",0
"355030804000074",0
"355030804000075",0
"355030804000076",0
"355030804000077",2
"355030804000079",0
"355030804000080",0
"355030804000081",0
"355030804000082",0
"355030804000083",0
"355030804000084",0
"355030804000086",1
"355030804000088",1
"355030804000089",0
"355030804000090",0
"355030804000091",0
"355030804000092",0
"355030804000093",0
"355030804000094",0
"355030804000095",0
"355030804000096",1
"355030804000097",0
"355030804000098",0
"355030804000099",0
"355030804000100",0
"355030804000101",0
"355030804000102",0
"355030804000103",1
"355030804000105",0
"355030804000106",0
"355030804000107",0
"355030804000108",0
"355030804000109",0
"355030804000110",1
"355030804000112",0
"355030804000113",0
"355030804000114",0
"355030804000115",0
"355030804000116",0
"355030804000117",0
"355030804000118",1
"355030804000119",0
"355030804000120",0
"355030804000121",0
"355030804000122",0
"355030804000123",0
"355030804000124",0
"355030804000125",0
"355030804000126",0
"355030804000127",0
"355030804000128",0
"355030804000129",0
"355030804000130",0
"355030804000131",0
"355030804000132",0
"355030804000133",0
"355030804000134",0
"355030804000135",0
"355030804000136",1
"355030804000137",0
"355030804000138",0
"355030804000139",1
"355030804000140",0
"355030804000141",0
"355030804000142",1
"355030804000143",0
"355030804000144",0
"355030804000145",0
"355030804000146",0
"355030804000147",0
"355030804000148",0
"355030804000149",1
"355030804000150",0
"355030804000151",0
"355030804000152",0
"355030804000153",0
"355030804000154",0
"355030804000155",0
"355030804000156",0
"355030804000157",0
"355030804000158",0
"355030804000159",0
"355030804000160",0
"355030804000161",0
"355030804000162",0
"355030804000163",0
"355030804000164",0
"355030804000165",0
"355030804000166",0
"355030804000167",0
"355030804000168",0
"355030804000169",0
"355030804000171",0
"355030804000172",0
"355030804000173",0
"355030804000174",0
"355030804000175",2
"355030804000176",0
"355030804000177",0
"355030804000178",0
"355030804000179",1
"355030804000180",1
"355030804000181",0
"355030804000182",0
"355030804000183",0
"355030804000184",0
"355030804000185",0
"355030804000186",2
"355030804000187",0
"355030804000188",0
"355030805000002",1
"355030805000003",0
"355030805000004",1
"355030805000005",1
"355030805000008",0
"355030805000009",0
"355030805000010",0
"355030805000011",0
"355030805000012",0
"355030805000013",0
"355030805000014",0
"355030805000016",0
"355030805000017",0
"355030805000019",0
"355030805000020",1
"355030805000021",0
"355030805000024",0
"355030805000025",0
"355030805000026",0
"355030805000028",0
"355030805000029",0
"355030805000030",1
"355030805000031",0
"355030805000033",3
"355030805000037",0
"355030805000038",1
"355030805000039",0
"355030805000040",0
"355030805000041",0
"355030805000042",0
"355030805000043",0
"355030805000044",0
"355030805000045",0
"355030805000046",0
"355030805000047",0
"355030805000048",0
"355030805000049",0
"355030805000050",0
"355030805000052",0
"355030805000053",0
"355030805000054",0
"355030805000055",0
"355030805000056",0
"355030805000059",0
"355030805000061",0
"355030805000064",0
"355030805000065",1
"355030805000066",0
"355030805000067",0
"355030805000068",0
"355030805000070",0
"355030805000071",1
"355030805000072",0
"355030805000073",0
"355030805000077",0
"355030805000078",0
"355030805000079",0
"355030805000080",0
"355030805000081",0
"355030805000082",0
"355030805000083",0
"355030805000084",0
"355030805000086",0
"355030805000087",1
"355030805000088",0
"355030805000089",0
"355030805000090",0
"355030805000093",0
"355030805000094",0
"355030805000097",0
"355030805000101",0
"355030805000107",0
"355030805000108",0
"355030805000110",0
"355030805000112",0
"355030805000113",0
"355030805000114",2
"355030805000115",0
"355030805000116",0
"355030805000117",0
"355030805000118",0
"355030805000119",0
"355030805000120",0
"355030805000123",0
"355030805000126",0
"355030805000128",0
"355030805000129",2
"355030805000134",1
"355030805000135",0
"355030805000136",0
"355030805000137",0
"355030805000138",0
"355030805000140",0
"355030805000141",0
"355030805000142",1
"355030805000143",0
"355030805000144",0
"355030805000146",0
"355030805000147",0
"355030805000148",0
"355030805000149",0
"355030805000150",0
"355030805000151",0
"355030805000152",0
"355030805000153",0
"355030805000155",0
"355030805000157",0
"355030805000158",0
"355030805000159",0
"355030805000160",0
"355030805000161",0
"355030805000162",0
"355030805000163",1
"355030805000164",0
"355030805000165",0
"355030805000166",0
"355030805000167",0
"355030805000168",0
"355030805000169",0
"355030805000170",0
"355030805000171",1
"355030805000172",0
"355030805000173",0
"355030805000174",0
"355030805000175",0
"355030805000176",0
"355030805000177",0
"355030805000178",0
"355030805000179",0
"355030805000180",0
"355030805000181",0
"355030805000182",3
"355030805000183",0
"355030805000184",0
"355030805000185",0
"355030805000186",0
"355030805000187",0
"355030805000188",0
"355030805000189",0
"355030805000190",0
"355030805000191",0
"355030805000192",1
"355030805000193",0
"355030805000194",0
"355030805000195",0
"355030805000196",0
"355030805000197",0
"355030805000198",0
"355030805000199",0
"355030805000200",1
"355030805000201",0
"355030805000202",0
"355030805000203",0
"355030805000204",0
"355030805000205",0
"355030805000206",0
"355030805000207",0
"355030805000208",0
"355030805000209",0
"355030805000210",0
"355030805000211",0
"355030805000212",0
"355030805000213",0
"355030805000214",0
"355030805000215",0
"355030805000216",0
"355030805000217",0
"355030805000218",0
"355030805000219",0
"355030805000220",0
"355030805000221",0
"355030805000222",0
"355030805000223",2
"355030805000224",0
"355030805000225",0
"355030805000226",0
"355030805000227",0
"355030805000228",2
"355030805000229",0
"355030805000230",0
"355030805000231",0
"355030805000232",0
"355030805000233",0
"355030805000234",0
"355030805000235",0
"355030805000236",0
"355030805000237",0
"355030805000238",0
"355030805000239",0
"355030805000240",0
"355030805000241",0
"355030805000242",0
"355030805000243",0
"355030805000244",0
"355030805000245",0
"355030805000246",0
"355030805000247",0
"355030805000248",0
"355030805000249",0
"355030805000250",0
"355030805000251",0
"355030805000252",0
"355030805000253",0
"355030805000254",0
"355030805000255",0
"355030806000001",1
"355030806000007",0
"355030806000008",0
"355030806000010",1
"355030806000011",0
"355030806000017",1
"355030806000018",0
"355030806000023",0
"355030806000025",0
"355030806000029",0
"355030806000030",0
"355030806000035",0
"355030806000036",0
"355030806000037",0
"355030806000038",0
"355030806000039",0
"355030806000040",0
"355030806000041",0
"355030806000042",0
"355030806000043",0
"355030806000044",0
"355030806000046",0
"355030806000048",0
"355030806000049",0
"355030806000050",0
"355030806000051",0
"355030806000052",0
"355030806000053",0
"355030806000054",0
"355030806000055",0
"355030806000056",0
"355030806000057",0
"355030806000058",0
"355030806000059",0
"355030806000060",0
"355030806000061",0
"355030806000062",0
"355030806000063",0
"355030806000064",1
"355030806000065",0
"355030806000066",0
"355030806000067",0
"355030806000068",0
"355030806000069",0
"355030806000070",0
"355030806000071",0
"355030806000072",0
"355030806000073",0
"355030806000074",0
"355030806000075",1
"355030806000076",0
"355030806000077",1
"355030806000078",0
"355030806000079",0
"355030806000080",0
"355030806000081",0
"355030806000082",0
"355030806000083",1
"355030806000084",0
"355030806000085",2
"355030806000086",0
"355030806000087",0
"355030806000088",0
"355030806000089",0
"355030806000090",0
"355030806000091",0
"355030806000092",0
"355030806000093",0
"355030806000094",0
"355030806000095",1
"355030806000096",0
"355030806000097",0
"355030806000098",0
"355030806000099",0
"355030806000100",0
"355030806000101",0
"355030806000102",0
"355030806000103",0
"355030806000104",0
"355030806000105",0
"355030806000106",0
"355030806000107",0
"355030806000108",0
"355030806000109",0
"355030806000110",0
"355030806000111",0
"355030806000112",0
"355030806000113",0
"355030806000114",0
"355030806000115",0
"355030806000116",0
"355030806000117",0
"355030806000118",0
"355030806000119",0
"355030806000120",0
"355030806000121",0
"355030806000122",0
"355030806000123",0
"355030806000124",0
"355030806000125",0
"355030806000126",0
"355030806000127",0
"355030806000128",0
"355030806000129",0
"355030806000130",0
"355030806000131",0
"355030806000133",1
"355030806000134",0
"355030806000135",0
"355030806000136",0
"355030806000137",0
"355030806000138",0
"355030806000139",0
"355030806000141",1
"355030806000142",0
"355030806000143",2
"355030807000004",0
"355030807000005",1
"355030807000007",0
"355030807000012",0
"355030807000013",1
"355030807000014",0
"355030807000015",0
"355030807000021",1
"355030807000025",0
"355030807000028",0
"355030807000029",0
"355030807000032",0
"355030807000034",0
"355030807000035",1
"355030807000038",0
"355030807000039",0
"355030807000040",0
"355030807000041",0
"355030807000042",0
"355030807000045",0
"355030807000046",0
"355030807000051",0
"355030807000053",0
"355030807000056",0
"355030807000058",0
"355030807000060",0
"355030807000061",0
"355030807000062",0
"355030807000063",0
"355030807000064",1
"355030807000065",0
"355030807000069",0
"355030807000070",0
"355030807000073",0
"355030807000076",0
"355030807000083",0
"355030807000084",0
"355030807000088",0
"355030807000089",0
"355030807000091",0
"355030807000093",2
"355030807000096",0
"355030807000100",0
"355030807000110",0
"355030807000112",0
"355030807000113",0
"355030807000116",0
"355030807000117",0
"355030807000122",0
"355030807000125",0
"355030807000126",0
"355030807000133",0
"355030807000134",0
"355030807000136",0
"355030807000137",0
"355030807000139",0
"355030807000143",0
"355030807000144",0
"355030807000145",0
"355030807000146",0
"355030807000147",1
"355030807000148",0
"355030807000149",0
"355030807000150",0
"355030807000151",2
"355030807000152",0
"355030807000153",0
"355030807000154",0
"355030807000155",0
"355030807000156",0
"355030807000157",0
"355030807000158",0
"355030807000159",0
"355030807000160",0
"355030807000161",0
"355030807000162",0
"355030807000163",0
"355030807000164",0
"355030807000165",0
"355030807000166",0
"355030807000167",0
"355030807000168",0
"355030807000169",0
"355030807000170",0
"355030807000172",0
"355030807000173",0
"355030807000175",0
"355030807000176",0
"355030807000177",0
"355030807000178",0
"355030807000179",0
"355030807000180",0
"355030807000181",0
"355030807000182",0
"355030807000183",0
"355030807000184",0
"355030807000185",0
"355030807000186",0
"355030807000187",0
"355030807000188",0
"355030807000189",0
"355030807000190",0
"355030807000191",0
"355030807000192",0
"355030807000193",0
"355030807000194",0
"355030807000195",0
"355030807000196",1
"355030807000197",0
"355030807000198",0
"355030807000199",0
"355030807000200",0
"355030807000201",0
"355030807000202",0
"355030807000203",1
"355030807000204",0
"355030807000205",0
"355030807000206",0
"355030807000207",0
"355030807000208",0
"355030807000209",0
"355030807000210",0
"355030807000211",0
"355030807000212",0
"355030807000213",0
"355030807000214",0
"355030807000215",0
"355030807000216",0
"355030807000217",0
"355030807000218",0
"355030807000219",0
"355030807000220",0
"355030807000222",0
"355030807000223",0
"355030807000224",0
"355030807000225",0
"355030807000226",0
"355030807000227",0
"355030807000228",0
"355030807000229",0
"355030807000230",0
"355030807000232",0
"355030807000233",0
"355030807000234",0
"355030807000235",0
"355030807000236",0
"355030807000238",0
"355030807000239",0
"355030807000241",0
"355030807000242",0
"355030807000243",0
"355030807000244",0
"355030807000245",0
"355030807000246",0
"355030807000247",0
"355030807000248",0
"355030807000249",0
"355030807000250",0
"355030807000251",0
"355030807000252",0
"355030807000253",0
"355030807000254",0
"355030807000255",0
"355030807000256",0
"355030807000257",0
"355030807000258",0
"355030807000259",0
"355030807000260",0
"355030807000261",0
"355030807000262",0
"355030807000264",0
"355030807000265",0
"355030807000266",0
"355030807000267",0
"355030807000268",0
"355030807000269",0
"355030807000270",0
"355030807000271",0
"355030807000272",1
"355030807000273",1
"355030807000274",0
"355030807000275",0
"355030807000276",0
"355030807000277",0
"355030807000278",0
"355030807000279",0
"355030807000280",0
"355030807000281",0
"355030807000282",0
"355030807000283",0
"355030807000284",0
"355030807000285",0
"355030807000286",1
"355030807000287",0
"355030807000289",0
"355030807000290",0
"355030807000291",0
"355030807000292",0
"355030807000293",0
"355030807000294",0
"355030807000295",1
"355030807000296",0
"355030807000297",0
"355030807000298",0
"355030807000299",0
"355030807000300",0
"355030807000301",0
"355030807000302",0
"355030807000303",0
"355030807000304",2
"355030807000305",0
"355030807000306",0
"355030807000307",0
"355030807000308",0
"355030807000309",0
"355030807000311",0
"355030807000312",0
"355030807000313",0
"355030807000314",0
"355030807000315",0
"355030807000316",0
"355030807000317",0
"355030807000318",0
"355030807000319",0
"355030807000320",0
"355030807000321",0
"355030807000322",1
"355030807000323",0
"355030807000324",0
"355030807000325",0
"355030807000326",0
"355030807000327",0
"355030807000328",0
"355030807000329",0
"355030807000330",0
"355030807000332",0
"355030807000333",0
"355030807000334",0
"355030807000335",0
"355030807000336",0
"355030807000337",0
"355030807000338",0
"355030807000339",2
"355030807000340",0
"355030807000341",0
"355030807000342",0
"355030807000343",0
"355030807000344",0
"355030807000345",1
"355030807000346",0
"355030807000347",0
"355030807000348",0
"355030807000349",0
"355030807000350",0
"355030807000351",0
"355030807000352",0
"355030808000001",1
"355030808000002",0
"355030808000003",0
"355030808000005",0
"355030808000006",0
"355030808000007",0
"355030808000009",0
"355030808000012",0
"355030808000013",0
"355030808000016",0
"355030808000017",0
"355030808000019",1
"355030808000020",0
"355030808000021",0
"355030808000023",0
"355030808000024",0
"355030808000025",1
"355030808000026",0
"355030808000027",1
"355030808000028",0
"355030808000029",1
"355030808000031",0
"355030808000032",0
"355030808000033",4
"355030808000034",0
"355030808000035",1
"355030808000036",1
"355030808000037",0
"355030808000040",0
"355030808000041",1
"355030808000043",0
"355030808000044",0
"355030808000045",0
"355030808000046",0
"355030808000047",0
"355030808000048",0
"355030808000049",0
"355030808000050",0
"355030808000051",0
"355030808000052",0
"355030808000053",0
"355030808000054",0
"355030808000055",0
"355030808000056",0
"355030808000057",0
"355030808000058",0
"355030808000059",1
"355030808000060",0
"355030808000061",0
"355030808000062",0
"355030808000063",0
"355030808000064",0
"355030808000065",0
"355030808000066",0
"355030808000067",0
"355030808000068",0
"355030808000069",0
"355030808000070",0
"355030808000071",0
"355030808000072",0
"355030808000073",0
"355030808000074",0
"355030808000075",0
"355030808000076",0
"355030808000077",0
"355030808000078",0
"355030808000079",0
"355030808000081",0
"355030808000082",0
"355030808000083",0
"355030808000084",0
"355030808000085",0
"355030808000086",0
"355030808000087",1
"355030808000088",0
"355030808000089",1
"355030808000090",0
"355030808000091",0
"355030808000092",0
"355030808000093",0
"355030808000094",0
"355030808000095",0
"355030808000096",0
"355030808000097",0
"355030808000098",0
"355030808000099",0
"355030808000100",2
"355030808000101",0
"355030808000102",0
"355030808000103",0
"355030808000104",0
"355030808000105",0
"355030808000106",0
"355030808000107",0
"355030808000108",0
"355030808000109",0
"355030808000110",0
"355030808000111",1
"355030808000112",1
"355030808000113",0
"355030808000114",0
"355030808000115",0
"355030808000116",0
"355030808000117",0
"355030808000118",0
"355030808000119",0
"355030808000120",0
"355030809000001",1
"355030809000005",1
"355030809000007",0
"355030809000008",0
"355030809000010",1
"355030809000012",1
"355030809000015",0
"355030809000016",0
"355030809000017",1
"355030809000019",1
"355030809000020",0
"355030809000027",0
"355030809000028",0
"355030809000029",0
"355030809000030",0
"355030809000031",0
"355030809000032",0
"355030809000033",0
"355030809000037",0
"355030809000042",0
"355030809000045",0
"355030809000046",0
"355030809000047",0
"355030809000048",0
"355030809000051",0
"355030809000052",0
"355030809000053",0
"355030809000054",0
"355030809000055",0
"355030809000056",0
"355030809000057",2
"355030809000058",0
"355030809000059",0
"355030809000060",0
"355030809000061",0
"355030809000062",0
"355030809000063",0
"355030809000064",0
"355030809000065",0
"355030809000066",0
"355030809000067",0
"355030809000068",0
"355030809000069",0
"355030809000070",0
"355030809000071",0
"355030809000072",0
"355030809000073",0
"355030809000074",2
"355030809000075",1
"355030809000076",0
"355030809000077",0
"355030809000078",0
"355030809000079",0
"355030809000080",0
"355030809000081",1
"355030809000082",0
"355030809000083",0
"355030809000084",1
"355030809000085",0
"355030809000086",0
"355030809000087",0
"355030809000088",0
"355030809000089",0
"355030809000090",0
"355030809000091",0
"355030809000092",0
"355030809000093",0
"355030809000094",0
"355030809000095",0
"355030809000096",0
"355030809000097",0
"355030809000098",0
"355030809000100",1
"355030809000101",0
"355030809000102",0
"355030809000103",0
"355030809000104",0
"355030809000105",1
"355030809000106",0
"355030809000107",1
"355030809000108",0
"355030809000109",0
"355030809000110",0
"355030809000112",0
"355030809000113",0
"355030809000114",0
"355030809000117",0
"355030809000118",0
"355030809000119",0
"355030809000120",0
"355030809000121",0
"355030809000122",0
"355030810000002",0
"355030810000013",0
"355030810000016",0
"355030810000023",0
"355030810000027",0
"355030810000028",0
"355030810000029",0
"355030810000030",0
"355030810000031",0
"355030810000033",0
"355030810000040",0
"355030810000043",0
"355030810000047",0
"355030810000048",0
"355030810000052",0
"355030810000055",0
"355030810000056",0
"355030810000057",0
"355030810000058",0
"355030810000059",0
"355030810000060",0
"355030810000061",0
"355030810000062",0
"355030810000063",0
"355030810000064",0
"355030810000065",0
"355030810000066",0
"355030810000067",0
"355030810000068",0
"355030810000069",0
"355030810000070",0
"355030810000071",0
"355030810000072",0
"355030810000073",0
"355030810000074",1
"355030810000075",0
"355030810000076",0
"355030810000077",0
"355030810000078",0
"355030810000079",0
"355030810000080",0
"355030810000081",0
"355030810000082",0
"355030810000083",0
"355030810000084",0
"355030810000085",0
"355030810000086",0
"355030810000087",0
"355030810000088",0
"355030810000089",0
"355030810000090",0
"355030810000091",0
"355030810000092",0
"355030810000093",0
"355030810000094",0
"355030810000095",0
"355030810000096",1
"355030810000097",0
"355030810000098",0
"355030810000099",0
"355030810000100",0
"355030810000101",0
"355030810000102",0
"355030810000103",0
"355030810000104",0
"355030810000105",0
"355030810000106",0
"355030810000107",0
"355030810000108",0
"355030810000109",0
"355030810000110",0
"355030810000111",0
"355030810000112",0
"355030810000113",0
"355030810000114",0
"355030810000115",0
"355030810000116",1
"355030810000118",0
"355030810000119",0
"355030810000120",0
"355030810000121",0
"355030810000123",0
"355030810000124",0
"355030810000125",0
"355030810000126",0
"355030810000127",0
"355030810000129",0
"355030810000130",0
"355030810000131",0
"355030810000132",0
"355030810000133",0
"355030810000134",0
"355030810000135",0
"355030810000136",0
"355030810000137",0
"355030810000138",0
"355030810000139",0
"355030810000142",0
"355030810000143",0
"355030810000144",0
"355030810000145",0
"355030810000146",0
"355030810000147",0
"355030810000148",0
"355030810000149",0
"355030810000150",0
"355030810000151",0
"355030810000152",0
"355030810000153",0
"355030810000154",0
"355030810000155",0
"355030810000156",0
"355030810000157",0
"355030810000158",0
"355030810000159",0
"355030810000160",0
"355030810000161",0
"355030810000162",0
"355030810000163",0
"355030810000164",0
"355030810000165",0
"355030810000166",0
"355030810000167",0
"355030810000168",0
"355030810000169",0
"355030810000170",0
"355030810000171",0
"355030810000172",0
"355030810000173",0
"355030810000174",0
"355030810000175",0
"355030810000176",0
